from	from_type	type	to	to_type
Abstract Categorial Grammar		relation	phenogrammar/tectogrammar	
Sawada2016		relation	positive polarity item (PPI)	
BonamiGodardMarandin1999		relation	French	
Sawada2008		relation	positive polarity item (PPI)	
SugisakiSnyder2006		relation	CHILDES	
Kuno 1982-4c		relation	ellipsis	
Dowty1996b		relation	Heavy NP Shift (HNPS)	
Kataoka2006		relation	Japanese scrambling	
Dikken2009		relation	extraction pathway marking	
OHE38-Varieties-of-English-30a		relation	VP ellipsis	
OHE38-Varieties-of-English-2		relation	VP ellipsis	
Chierchia2013		relation	positive polarity item (PPI)	
Kuno 1982-5c		relation	ellipsis	
Kroch1989a		relation	do support	
Jacobson1999		relation	Right-Node Raising (RNR)	
Stalnaker2002		relation	presupposition	
OHE16-Movement-and-Islands-47b		relation	sluicing	
Nishigauchi2020		relation	Japanese	
Kuno 1982-13		relation	ellipsis	
Hayashishita2017		relation	comparative	
OHE38-Varieties-of-English-26c		relation	VP ellipsis	
OHE20-Sluicing-and-Its-Subtypes-9		relation	Japanese	
Merchant2008b		relation	island violation	
KubotaLevine2016b		relation	nonconstituent coordination (NCC)	
KennedyMerchant2000a		relation	attributive comparative deletion	
Landau2015		relation	de se	
OHE10-ellipsis-in-inquisitive-semantics-3		relation	inquisitive semantics	
Sawada2009		relation	comparative	
Saito2016-9i		relation	clausal complementation	
OHE20-Sluicing-and-Its-Subtypes-n6i		relation	sluicing	
adjectival_inflection_reduced		relation	inflection	
Kubota2026		relation	outlook marker	
intensifier		relation	scalarity	
MurasugiSugisakiMS2008MS-49bi		relation	passive	
OHE38-Varieties-of-English-50a		relation	VP ellipsis	
GiannakidouYoon2011		relation	Korean	
SawadaGrano2011		relation	adjective	
Kobayashi2024		relation	ellipsis	
Landau2004		relation	dependent tense	
multiple sluicing		relation	island sensitivity	
Dowty1987		relation	symmetrical predicate	
Beck2000		relation	symmetrical predicate	
Dowty1996a		relation	phenogrammar/tectogrammar	
Okano2023		relation	explanation relation	
modal sensitivity		relation	modality	
AbeHornstein2012b		relation	across-the-board movement (ATB movement) (phenomenon)	
contrastive wa		relation	contrastive topic	
KubotaIdo2025b		relation	outlook marker	
OHE22-Nominal-Ellipsis-10b		relation	Empty Nounconstruction	
Tamura2013		relation	perspective sensitivity	
OHE38-Varieties-of-English-13a		relation	VP ellipsis	
Kataoka2006		relation	negation	
ChavesDery2019		relation	parasitic gap	
OHE16-Movement-and-Islands-19b-i		relation	sluicing	
Sawada2017		relation	Japanese	
Hara2006		relation	contrastive wa	
KubotaIdo2025b		relation	modal sensitivity	
OHE38-Varieties-of-English-1c		relation	VP ellipsis	
HiroseNawata2017		relation	cartography	
OHE22-Nominal-Ellipsis-67-ii		relation	nominal ellipsis	
Boskovic2014		relation	Serbo-Croatian	
Sugisaki2016-30bii-sloppy		relation	argument ellipsis	
Schuyler2002		relation	island violation	
Tomioka2014		relation	null argument (phenomenon)	
Sawada2018b		relation	conventional implicature	
tewa		relation	Japanese	
Rooth1985		relation	focus particle	
Plann1982		relation	Indirect Questions	
OHE22-Nominal-Ellipsis-57b		relation	nominal ellipsis	
Sawada2007		relation	subjectivity	
Kuno 1982-4d		relation	ellipsis	
Murray2014		relation	evidentiality	
OHE22-Nominal-Ellipsis-38		relation	nominal ellipsis	
Saito2012b		relation	Japanese	
Chao1988		relation	ellipsis	
Dagnac2010		relation	Italian	
1983_Engdahl-3		relation	parasitic gap	
TLS561		relation	Gapping	
OHE16-Movement-and-Islands-44b-i		relation	German (language)	
Chung1982		relation	Chamorro	
OHE10-ellipsis-in-inquisitive-semantics-44b		relation	sprouting(phenomenon)	
Ido2023		relation	epistemic stance	
Griffiths2014		relation	island repair	
OHE16-Movement-and-Islands-23a		relation	Sentential Subject Constraint (phenomenon)	
Culicover1993		relation	that-trace effect	
TLS544		relation	Element Constraint	
Takita2010		relation	V-stranding Sluicing	
Sawada2019		relation	negative totemo	
OHE38-Varieties-of-English-40		relation	VP ellipsis	
Jayaseelan1990		relation	pseudogapping	
Watanabe2013		relation	negative concord	
TLS269		relation	pseudogapping	
FujiiEA2023		relation	generational variation	
Simpler Syntax		relation	Construction Grammar	
HankamerSag1976		relation	do so anaphora	
2001_Nunes-62a		relation	Subjacency	
Lechner2001		relation	PC-Hypothesis	
Oshima2016		relation	perspective sensitivity	
it_appear_small_clause		relation	expletive	
TLS529		relation	Complex NP Constraint (CNPC)	
non loanword		relation	phonetic nature	
Linear Categorial Grammar		relation	phenogrammar/tectogrammar	
OHE20-Sluicing-and-Its-Subtypes-n15i		relation	Japanese	
NadathurLauer2020		relation	causal necessity	
Tamura2013		relation	modality	
Sugisaki2016-31bii-sloppy		relation	sloppy reading	
Schneider2022		relation	nicht (discourse marker)	
Lee2021		relation	Korean	
Hinzen2012		relation	philosophy of science	
Kuno 1982-sec2-4b		relation	VP ellipsis	
Yuan2026		relation	tewa	
Ido2023		relation	negative polarity item (NPI)	
Morrill2017		relation	long-distance dependency	
vanUrkRichards2015		relation	Dinka	
DemonteFernández-Soriano2014		relation	que	
BachPartee1984		relation	VP ellipsis	
Kuroda1986a-73		relation	eru sentence	
OHE22-Nominal-Ellipsis-51b		relation	nominal ellipsis	
IdoEA2021		relation	attenuation	
Pollock1989		relation	French	
contrastive wa		relation	focus	
YanaMineshimaBekki2019		relation	Discourse Representation Theory (DRT)	
OHE20-Sluicing-and-Its-Subtypes-12a		relation	Left-Branch Condition	
OHE10-ellipsis-in-inquisitive-semantics-10b		relation	sluicing	
Sawada2021		relation	discourse structure	
Repp2013		relation	common ground	
McCloskey2000		relation	extraction pathway marking	
OHE16-Movement-and-Islands-21a		relation	Complex NP Constraint (CNPC)	
Kehler2002		relation	Coordinate Structure Constraint (CSC)	
Stalnaker2002		relation	common ground	
2013_Chomsky-1		relation	Binding Condition A	
Landau2015		relation	finite control	
vanUrkRichards2015		relation	extraction pathway marking	
prepositions_assign_inherent		relation	structural Case	
compound verb		relation	complex predicate	
OHE22-Nominal-Ellipsis-48		relation	number mismatch in nominal ellipsis	
OHE20-Sluicing-and-Its-Subtypes-52b-ii		relation	cleft	
Krifka1995		relation	semantic approach to NPI licensing	
Barros2012		relation	sluicing	
Sawada2014		relation	comparative	
Takahashi1990		relation	weak crossover (WCO)	
Dayal2010		relation	sluicing	
verb_movement_more_restricted		relation	verb movement	
KubotaLevine2020		relation	attributive comparative deletion	
Sag1976		relation	VP ellipsis	
Sawada2022		relation	minimizer	
OHE20-Sluicing-and-Its-Subtypes-5		relation	Japanese	
parasitic gap		relation	Sensitivity to A'-movement	
Fox1999		relation	scope reconstruction	
Kobayashi2023		relation	nonconstituent coordination (NCC)	
NadathurLauer2020		relation	causal sufficiency	
made-wa		relation	negative polarity item (NPI)	
Asher1987		relation	propositional attitude	
Chomsky1986a		relation	Empty Category Principle (ECP)	
OHE10-ellipsis-in-inquisitive-semantics-24		relation	sluicing	
YuanSaito2020		relation	evidential marker	
Abrusan2014		relation	weak island	
Takita2010		relation	island repair	
to_allow_elided		relation	Modal complement ellipsis	
OHE16-Movement-and-Islands-25a		relation	Left-Branch Condition	
Gianakidou2007		relation	polarity sensitivity	
Kubota2012		relation	presupposition	
Krifka1995		relation	strong NPI	
Griffiths2014		relation	fragment answers	
BledinRawlins2020		relation	attentional dynamics	
KubotaIdo2025b		relation	stance sensitivity	
Moltmann1992b		relation	internal reading	
OHE22-Nominal-Ellipsis-40a		relation	nominal ellipsis	
OHE10-ellipsis-in-inquisitive-semantics-44a		relation	sluicing	
n't_cliticized		relation	negation	
Kishimoto2001		relation	indeterminate pronoun	
OHE20-Sluicing-and-Its-Subtypes-56b-ii		relation	German	
OHE38-Varieties-of-English-48a		relation	VP ellipsis	
Sawada2014		relation	negative motto	
2011_Obata+Epstein-8		relation	A'-Opacity Effect	
OHE20-Sluicing-and-Its-Subtypes-28		relation	Japanese	
MootStevensGuille2019		relation	decidability	
OHE22-Nominal-Ellipsis-82		relation	nominal ellipsis	
CulicoverJackendoff2005		relation	Gapping	
Okano2023		relation	sollte	
Abrusan2011		relation	soft trigger (presupposition)	
TLS489		relation	Complex NP Constraint (CNPC)	
Chen2019		relation	degree morphology	
Merchant1999		relation	sluicing	
OHE20-Sluicing-and-Its-Subtypes-n8i		relation	Left-Branch Condition	
Aikawa1999		relation	Katada's (1988, 1991) hypothesis	
de se		relation	propositional attitude	
Sawada2007		relation	conventional implicature	
TLSp189n15		relation	pseudogapping	
HiraiwaIshihara2002		relation	focus movement	
OHE16-Movement-and-Islands-39a		relation	sluicing	
OHE20-Sluicing-and-Its-Subtypes-58a-ii		relation	German	
OHE22-Nominal-Ellipsis-19d		relation	one-anaphora	
OHE20-Sluicing-and-Its-Subtypes-53b-ii		relation	sluicing	
OHE20-Sluicing-and-Its-Subtypes-16		relation	Serbo-Croatian	
successive cyclicity		relation	locality	
Nishigauchi2020		relation	functional noun	
nominative_absolute_emerged		relation	nominative	
OHE16-Movement-and-Islands-19b-ii		relation	sluicing	
OHE16-Movement-and-Islands-35		relation	multiple sluicing	
TLS545		relation	island violation	
TLS543		relation	discourse relation	
dake-wa		relation	contrastive topic	
morphological_cases_declined		relation	morphological case	
OHE22-Nominal-Ellipsis-20a		relation	nominal ellipsis	
Nykiel2013		relation	sluicing	
verb-stranding VP-ellipsis analysis of Argument Ellipsis		relation	Japanese	
OHE16-Movement-and-Islands-37b		relation	Complex NP Constraint (CNPC)	
Ido2019		relation	evaluative CI	
stripping		relation	island sensitivity	
Sugisaki2016-36bii-sloppy		relation	argument ellipsis	
Sawada2023		relation	polarity sensitivity	
Schneider2022		relation	etwa	
OHE10-ellipsis-in-inquisitive-semantics-25a		relation	sluicing	
RobertsSimons2024		relation	selectional restriction	
McNulty1988		relation	depictive	
TLS546		relation	island violation	
OHE16-Movement-and-Islands-19a-ii		relation	sluicing	
AkuzawaKubota2024		relation	responsibility	
Takita2011b		relation	negative polarity item (NPI)	
Shimada1999		relation	VP ellipsis	
HornsteinLightfoot1987		relation	depictive	
KubotaLevine2016b		relation	Right-Node Raising (RNR)	
Pred_introduced		relation	functional category	
TLS293		relation	scope ambiguity	
CulicoverJackendoff2005		relation	Bare Argument Ellipsis	
Ishii1991		relation	floating quantifier	
TLS367		relation	VP ellipsis	
McCawley1993		relation	quantifier	
TLS374		relation	attributive comparative deletion	
KubotaIdo2024		relation	negative polarity item (NPI)	
Sawada2007		relation	discourse marker	
Empty Category Principle (ECP)		relation	Extended Projection Principle (EPP)	
Spyropoulos2008		relation	dependent tense	
Kuroda1983-23		relation	tough-movement	
KimRunner2022		relation	pseudogapping	
OHE20-Sluicing-and-Its-Subtypes-3a		relation	sluicing	
IdoEA2021		relation	presupposition	
TLS166		relation	multiple symmetrical/respective predication	
indefinite		relation	ignorance effect	
double_determination_lost		relation	determiner	
KubotaLee2015		relation	Korean	
OHE16-Movement-and-Islands-21a		relation	island repair	
kara (as SFP)		relation	Japanese	
Ross1967a		relation	pied-piping	
Perlmutter1971		relation	that-trace effect	
Tamura2013		relation	epistemic agent	
TLSp340n3-1		relation	scope ambiguity	
YuanSaito2020		relation	syntactic position	
Sugisaki2012b		relation	scope interactions	
OHE22-Nominal-Ellipsis-6b-ii		relation	people deletion	
KubotaKubota2019		relation	island constraint	
craenenbroeck2010b		relation	ellipsis	
infinitive_endings_lost		relation	inflection	
Gengel2013		relation	contrastive focus	
Sawada2022		relation	Japanese	
OHE22-Nominal-Ellipsis-31		relation	nominal ellipsis	
OHE16-Movement-and-Islands-5a-ii		relation	wh-movement (phenomenon)	
TLS335		relation	extraction pathway marking	
Potsdam2007		relation	sluicing	
pseudogapping as VP ellipsis		relation	pseudogapping	
Hardt1999		relation	ellipsis-containing antecedent (ellipsis)	
Kataoka2006		relation	negative polarity item (NPI)	
Kubota2026		relation	focus particle	
OHE16-Movement-and-Islands-22b		relation	Subject Condition effect	
Oshima2023		relation	projective meaning	
Kishimoto2001		relation	negative polarity item (NPI)	
prenominal_adjectives_standard		relation	adjective	
Parallel Merge		relation	multiple dominance	
TLS166		relation	respective/symmetrical/summative reading interaciton	
OHE16-Movement-and-Islands-25c-i		relation	sluicing	
Abels2016b		relation	P-stranding	
OHE20-Sluicing-and-Its-Subtypes-3b		relation	sluicing	
OHE16-Movement-and-Islands-2b		relation	wh-movement (phenomenon)	
TrotzkeMayol2021		relation	focus particle	
FujiiEA2023		relation	complementizer	
FujiiEA2023		relation	relative clause	
Takita2010		relation	Aggressively non-D-linked wh-phrases	
Boskovic2014		relation	Turkish	
Kuno 1982-sec1-1		relation	ellipsis	
Dowty1996b		relation	wrapping	
Pollock1989		relation	English	
PollardSag1994		relation	syntactic island	
HiraiwaIshihara2002		relation	Japanese	
Kishimoto2008MS		relation	string-vacuous V-raising in Japanese?	
Sugisaki2016-14bii-sloppy		relation	argument ellipsis	
craenenbroeck2004a		relation	sluicing	
SaitoH2019a		relation	evidentiality	
Johnson2000		relation	anomalous scope	
Etxepare2010		relation	syntactic variation	
local optimization vs. global optimization		relation	local economy vs. global economy in syntax	
AnderBois2011		relation	Yucatec Maya	
cleft		relation	presupposition	
Shieber1985		relation	cross-serial dependencies	
Kinuhata2023		relation	diachronic change	
OHE16-Movement-and-Islands-11b		relation	Adjunct Condition	
Thoms2015b		relation	ellipsis	
Oshima2023		relation	dake-wa	
Deane1991		relation	syntactic island	
TLS282		relation	pseudogapping	
OHE22-Nominal-Ellipsis-n18ib		relation	strict-sloppy identity	
McCloskey2000		relation	floating quantifier	
MorrillMerenciano1996		relation	VP ellipsis	
Fukaya2007		relation	contrast sluicing	
subordinate_established		relation	embedded clauses	
Hinzen2012		relation	Minimalist Program (MP)	
Ross1967a		relation	Complex NP Constraint (CNPC)	
OHE16-Movement-and-Islands-16c		relation	sprouting(phenomenon)	
Heim1982		relation	presupposition projection	
Levin1979		relation	pseudogapping	
TrotzkeMayol2021		relation	argumentative goal	
parasitic gap		relation	Anti-c-command Requirement	
Tanaka1997		relation	Wh-Island Condition	
Bayer1996		relation	Unlike Category Coordination	
Empty Noun		relation	deep vs. surface anaphora	
IdoKubota2023		relation	exclusives (focus particle)	
RobertsSimons2024		relation	presupposition projection	
Ido2023		relation	discourse strategy	
OHE20-Sluicing-and-Its-Subtypes-61-ii		relation	sluicing	
OHE38-Varieties-of-English-8a		relation	VP ellipsis	
Schneider2022		relation	speaker attitude	
Heim1992		relation	presupposition projection	
focus		relation	information structure	
Bekki2006		relation	respective reading	
Kubota2012		relation	izyoo/gurai	
Ido2019		relation	amari/sonnani	
Maeda2013		relation	Japanese	
OHE22-Nominal-Ellipsis-n4ib		relation	one-anaphora	
Culicover2021		relation	diachronic change	
OHE20-Sluicing-and-Its-Subtypes-32b		relation	superiority condition	
Sugisaki2012b		relation	language acquisition	
TLS502		relation	Left Branch Constraint	
morphological_cases_lost		relation	morphological case	
Matsuda2007		relation	non loanword	
HofmeisterSag2010		relation	Complex NP Constraint (CNPC)	
2013_Chomsky-1		relation	Binding Condition	
Penka2011		relation	negative quantifier	
Ido2023		relation	dake/sika	
OHE22-Nominal-Ellipsis-81a-iv		relation	Japanese	
TLS554		relation	island violation	
Ishihara2021		relation	speech act head	
dative_reanalyzed_nominative		relation	dative	
Hayashishita2007		relation	izyoo/gurai	
Rizzi2017		relation	labeling algorithm	
IdoKubota2021		relation	Japanese	
OHE20-Sluicing-and-Its-Subtypes-n16i		relation	multiple sluicing	
Kuroda1986a-11		relation	tough-movement	
OHE20-Sluicing-and-Its-Subtypes-31a		relation	Serbo-Croatian	
HinrichsNakazawa1994		relation	auxiliary flip	
made-wa		relation	polarity sensitivity	
ArreguiCliftonFrazierMoulton2006		relation	VP ellipsis	
verbs_move_discourse_reasons_PIE		relation	verb movement	
Henry1995		relation	extraction pathway marking	
Mizutani2023		relation	polarity sensitivity	
OHE16-Movement-and-Islands-47a		relation	sluicing	
IdoEA2021		relation	discourse strategy	
alternative semantics		relation	presupposition	
Kubota2021		relation	underspecification semantics	
Sawada2022		relation	negative motto	
Miller2014		relation	pseudogapping	
OHE16-Movement-and-Islands-10d		relation	Subject Condition effect	
OHE22-Nominal-Ellipsis-86a		relation	Japanese	
Steedman1996		relation	pied-piping	
TLS552		relation	island violation	
OHE20-Sluicing-and-Its-Subtypes-3b		relation	Japanese	
Steedman2012		relation	quantifier	
TanakaEA2023		relation	hodo	
Faller2002		relation	speech act operators	
modified numeral		relation	superlative modifier	
OHE20-Sluicing-and-Its-Subtypes-26b		relation	cleft	
IdoKubota2023		relation	minimum requirement condition	
OHE16-Movement-and-Islands-6a		relation	wh-movement (phenomenon)	
FoxLasnik2003		relation	VP ellipsis	
OHE22-Nominal-Ellipsis-24		relation	nominal ellipsis	
Saito2015		relation	selection	
Horn1996		relation	only (focus particle)	
Watanabe2013		relation	positive polarity item (PPI)	
Sawada2022		relation	negative evaluation	
OHE22-Nominal-Ellipsis-59b		relation	nominal ellipsis	
OHE20-Sluicing-and-Its-Subtypes-53b-ii		relation	Spanish	
changes_in_parameter_settings		relation	parameter setting	
OHE38-Varieties-of-English-12		relation	VP ellipsis	
Oku1998		relation	null argument	
OHE22-Nominal-Ellipsis-41a		relation	nominal ellipsis	
functional_categories_established		relation	functional category	
TLS266		relation	pseudogapping	
ChierchiaFoxSpector2012		relation	positive polarity item (PPI)	
Nishiyama2003		relation	Japanese	
Arita2007		relation	tense	
nanka		relation	Japanese	
Lobeck1995		relation	nominal ellipsis	
Yatabe2001		relation	summative agreement	
Kubota2020		relation	ellipsis-containing antecedent (ellipsis)	
OHE16-Movement-and-Islands-42a		relation	island repair	
OHE20-Sluicing-and-Its-Subtypes-47b-ii		relation	multiple pseudo sluicing	
TLS543		relation	parallelism	
SugisakiMurasugi2016		relation	Japanese scrambling	
OHE10-ellipsis-in-inquisitive-semantics-14b		relation	VP ellipsis	
Etxepare2010		relation	Spanish	
		relation	L1	
Lappin1999		relation	Antecedent Contained Deletion (ACD)	
Etxepare2010		relation	reportative function	
OHE22-Nominal-Ellipsis-10a		relation	one-anaphora	
KajikawaKubotaOseki2024		relation	computational modelling	
SVO_standard		relation	SVO (word order)	
Lakoff1986		relation	discourse relation	
Lechner2001		relation	ellipsis	
FujiiEA2023		relation	acceptability rating experiment	
HofmeisterSag2010		relation	wh island	
Steedman2012		relation	negative polarity item (NPI)	
OHE22-Nominal-Ellipsis-29		relation	nominal ellipsis	
Extraction out of null adjuncts possible		relation	Adjunct Island	
craenenbroeck2010a		relation	sluicing	
ought_not_to_established		relation	auxiliary (verb)	
dake/sika		relation	Japanese	
Takahashi1990		relation	negative polarity item (NPI)	
TLS339		relation	extraction pathway marking	
free choice		relation	ignorance effect	
Sawada2008		relation	polarity sensitivity	
2011_Obata+Epstein-26		relation	reconstruction	
OHE22-Nominal-Ellipsis-86b		relation	Japanese	
OHE38-Varieties-of-English-64b		relation	VP ellipsis	
Dowty1996a		relation	nonconstituent coordination (NCC)	
Sawada2022		relation	discourse update	
OHE20-Sluicing-and-Its-Subtypes-19b-ii		relation	Japanese	
Repp2013		relation	speech act	
TLS277		relation	pseudogapping	
Merchant2008b		relation	island repair	
FoxLasnik2003		relation	sluicing	
TanakaMizutaniSolt2019		relation	hodo	
Sawada2021		relation	Question Under Discussion (QUD)	
Ross1967a		relation	transformation	
BledinRawlins2020		relation	common ground	
OHE22-Nominal-Ellipsis-56a		relation	nominal ellipsis	
CopleyWolff2014		relation	dispositional causation	
Stalnaker2002		relation	speaker attitude	
Okano2023		relation	causality	
KarttunenPeters1979		relation	presupposition projection	
KubotaUegaki2009		relation	conventional implicature	
Yamaguchi2024		relation	psychological predicate	
KubotaIdo2024		relation	perspective sensitivity	
Gazdar1981		relation	Coordinate Structure Constraint (CSC)	
Sugisaki2005b		relation	longitudinal corpora	
OHE16-Movement-and-Islands-8c		relation	wh-movement (phenomenon)	
OHE16-Movement-and-Islands-44c-i		relation	German (language)	
OHE16-Movement-and-Islands-42b		relation	island evasion	
Takano2008MS		relation	syntax of ditransitives	
Lipták2010		relation	nominal ellipsis	
Sawada2017		relation	scalar modifier	
genitive_to_a_clitic		relation	genitive	
Steedman1996		relation	Coordinate Structure Constraint (CSC)	
Saito2015		relation	Japanese right periphery	
OHE10-ellipsis-in-inquisitive-semantics-29		relation	sluicing	
OHE16-Movement-and-Islands-25c-ii		relation	Left-Branch Condition	
FujiiEA2023		relation	raising	
Saito2001		relation	Japanese	
2011_Obata+Epstein-25a		relation	Improper Movement	
Takahashi2014		relation	Japanese	
Winter1995		relation	respective reading	
OHE16-Movement-and-Islands-10f		relation	Subject Condition effect	
Kuno 1982-1b		relation	focus	
KubotaIdo2024		relation	evaluative meaning	
Nishioka2019		relation	syntactic approach to NPI licensing	
OHE22-Nominal-Ellipsis-78a		relation	nominal ellipsis	
ManningSagIida2000		relation	causative	
OHE20-Sluicing-and-Its-Subtypes-17		relation	sluicing	
Kuroda1986a-132		relation	ga-wa alternation	
Merchant2004a		relation	contrastive fragment  answers	
OHE22-Nominal-Ellipsis-83c		relation	extraction	
Nishigauchi2020		relation	exhaustive listing	
Kuroda1986a-70		relation	Canonical Sentence Pattern Filter	
verbal_inflection_declined		relation	inflection	
TLS155		relation	respective/symmetrical/summative reading interaciton	
OHE22-Nominal-Ellipsis-n12iv		relation	nominal ellipsis	
nanka		relation	counterstance	
TanakaEA2023		relation	equative	
Elbourne2008		relation	extraction out of ellipsis	
Kuroda1986a-57c		relation	tough sentence (in Japanese)	
amari/sonnani		relation	scalarity	
verbs_ceased_move		relation	verb movement	
Kobayashi2024		relation	verb-stranding VP-ellipsis	
Plann1982		relation	Wh-Movement	
V-to-T_lost_16-17		relation	V-to-T/I movement	
Schneider2022		relation	German	
Sawada2019		relation	strong NPI	
Takahashi2008MS-10		relation	verb-stranding VP-ellipsis	
TLS533		relation	gradient acceptability	
auxiliaries_merged_T		relation	auxiliary (verb)	
OHE20-Sluicing-and-Its-Subtypes-11a		relation	Left-Branch Condition	
Whitman2004		relation	feature neutralization	
OHE20-Sluicing-and-Its-Subtypes-20a-i		relation	Japanese	
CastroviejoOltra-Massuet2018		relation	ability modal	
ChierchiaFoxSpector2012		relation	weak NPI	
OHE38-Varieties-of-English-6b		relation	VP ellipsis	
Sato2022		relation	neg raising	
Morrill1994		relation	decidability	
Kratzer1989		relation	counterfactual	
Merchant2004a		relation	sluicing	
GiannakidouYoon2011		relation	polarity sensitivity	
Johnson2001		relation	extraction out of ellipsis	
OHE16-Movement-and-Islands-42a		relation	Left-Branch Condition	
OHE10-ellipsis-in-inquisitive-semantics-12a		relation	double negation	
OHE20-Sluicing-and-Its-Subtypes-55a		relation	P-stranding	
amari/sonnani		relation	scalar modifier	
OHE10-ellipsis-in-inquisitive-semantics-18		relation	sluicing	
OHE20-Sluicing-and-Its-Subtypes-53b-i		relation	Spanish	
Sawada2022		relation	negation	
DemonteFernández-Soriano2014		relation	insubordination	
Kuroda1978-42		relation	tokoro phrase	
Saab2018OHE		relation	deep vs. surface anaphora	
2013_Chomsky-6a		relation	structure dependency	
Matsui2007		relation	indeterminate pronoun	
RobertsSimons2024		relation	selectional restriction	
OHE20-Sluicing-and-Its-Subtypes-59b		relation	German	
TLS376		relation	VP ellipsis	
AnderBois2011		relation	sluicing	
Sawada2022		relation	nanka	
Reape1996		relation	Dutch	
Crysmann2003		relation	nonconstituent coordination (NCC)	
Kuno 1982-sec2-5a		relation	ellipsis	
KubotaKubota2019		relation	Japanese	
Abels2012		relation	adposition stranding	
FujiiEA2023		relation	converted genitives	
Steedman1987		relation	parasitic gap	
Hara2007		relation	speech act	
Okano2023		relation	scheinen	
OHE22-Nominal-Ellipsis-17b		relation	one-anaphora	
IdoEA2021		relation	Japanese	
Sawada2023		relation	strong NPI	
OHE10-ellipsis-in-inquisitive-semantics-12a		relation	negation	
semantic approach to NPI licensing		relation	polarity sensitivity	
Giannakidou1998b		relation	scalar model of NPI licensing	
phenogrammar/tectogrammar		relation	configurationality	
SugisakiSnyder2006		relation	language acquisition	
OHE16-Movement-and-Islands-24a		relation	island repair	
OHE38-Varieties-of-English-59c		relation	VP ellipsis	
Tomioka2014		relation	Japanese	
AkuzawaKubota2024		relation	finite control	
McCawley1993		relation	Gapping	
Oshima2016		relation	conventional implicature	
prepositions_assign_structural		relation	preposition	
Bentzen2013		relation	predicate ellipsis	
KarttunenPeters1979		relation	conventional implicature	
SchwarzSimonenko2018		relation	factive island	
Hybrid Type-Logical Categorial Grammar (H-TLCG)		relation	Lambek calculus	
Atlas1991		relation	exclusives (focus particle)	
new_clausal_established		relation	clausal structure	
HiroseNawata2017		relation	sentence-final particle	
Smirnova2009		relation	finite control	
Tanaka1997		relation	long-distance scrambling	
TLSp178n10-1		relation	pseudogapping	
TLS576		relation	syntactic island	
Abrusan2022		relation	accommodation	
Sawada2007		relation	positive polarity item (PPI)	
OHE16-Movement-and-Islands-11d		relation	Adjunct Condition	
OHE10-ellipsis-in-inquisitive-semantics-44b		relation	sluicing	
Oshima2023		relation	contrastive topic	
SzabolcsiHaddican2004		relation	coordination	
Chierchia2013		relation	exhaustification-based NPI licensing	
HarutaMineshimaBekki2020		relation	generalized quantifier	
Dowty1985		relation	internal reading	
Kuno 1982-sec2-7		relation	focus movement	
TLS534		relation	wh island	
Sawada2014		relation	indirect expressive	
KanazawaKaufmannPeters2005		relation	counterfactual	
Sawada2013		relation	Japanese	
Sakamoto2019		relation	covert movement	
OHE20-Sluicing-and-Its-Subtypes-11b		relation	sluicing	
Stephenson2010		relation	de se	
possessives_determiners_postnominal_lost		relation	genitive	
Okano2023		relation	conventional implicature	
OHE22-Nominal-Ellipsis-85b		relation	Japanese	
2011_Obata+Epstein-26		relation	A-movement	
ECM_emerged		relation	Exceptional case-marking (ECM)	
AkuzawaKubota2024		relation	modality	
Sawada2024		relation	strong NPI	
Bresnan1977		relation	that-trace effect	
OHE10-ellipsis-in-inquisitive-semantics-13a		relation	sluicing	
OHE16-Movement-and-Islands-6b		relation	wh-movement (phenomenon)	
Ticio2003		relation	nominal ellipsis	
SugisakiMurasugi2016		relation	syntax	
TLS55		relation	Gapping with fronted elements	
OHE20-Sluicing-and-Its-Subtypes-44b		relation	Serbo-Croatian	
MorrillValentin2017		relation	Gapping	
Warner1993		relation	NICE properties	
Kertz2013		relation	VP ellipsis	
Hoji2003		relation	configurationality	
OHE20-Sluicing-and-Its-Subtypes-3a		relation	Japanese	
Siegel1987		relation	anomalous scope	
MillerHemforth2014		relation	VP ellipsis	
Takahashi2008		relation	Japanese	
outlook marker		relation	speaker commitment	
medial Right-Node Raising (RNR)		relation	Right-Node Wrapping	
McCawley1993		relation	anomalous scope	
Sawada2022		relation	conventional implicature	
Uegaki2015		relation	question semantics	
YagiEA2022		relation	Japanese	
IdoKubota2025		relation	kakari-joshi	
Griffiths2014		relation	clausal ellipsis	
KubotaIdo2024		relation	focus particle	
morphological_cases_reduced		relation	morphological case	
YuanSaito2020		relation	Spanish que	
local optimization vs. global optimization		relation	global optimization vs. harmonic serialism in phonology	
OttStruckmeier2015		relation	sluicing	
Sugisaki2016b		relation	argument ellipsis	
Barker2007		relation	internal reading	
Matsui2013		relation	attenuation	
OHE10-ellipsis-in-inquisitive-semantics-37b		relation	sprouting(phenomenon)	
infinitival_relatives_subject_gaps_developed		relation	relative clause	
OHE10-ellipsis-in-inquisitive-semantics-15a		relation	sluicing	
Displacement Calculus		relation	discontinuous constituency	
Fernández2006		relation	sluicing	
BledinRawlins2020		relation	discourse management	
Takahashi2008		relation	nominal ellipsis	
Sugisaki2005b		relation	Japanese	
Kawahara2021		relation	Japanese	
IdoKubota2021		relation	dake-wa	
word order		relation	phrase structural constituency	
OHE20-Sluicing-and-Its-Subtypes-45a		relation	Turkish	
Futagi2004		relation	scope ambiguity	
BonamiGodardMarandin1999		relation	extraction pathway marking	
