from	from_type	type	to	to_type
NF3-30		relation	NF3-30c	
Kuroda1978-51		relation	tokoro phrase as modifier	
Unboundedness of Merge		relation	structure dependence	
NP-Ellipsis		relation	OHE22-Nominal-Ellipsis-20a	
		relation		
The Minimal Sentential Answer Strategy		relation	Kuno 1982-sec2-14a	
adjuncts not elidable		relation	Adjunct ellipsis is possible	
V_and_V_used		relation	and_reanalysis	
		relation	GrammarXiv	
		relation		
		relation		
NF4-19		relation	NF4-18b	
Ban Against Partial Discourse Deletion		relation	Kuno 1982-18d	
Kuno 1982 24a		relation	The Minimal Sentential Answer Strategy	
		relation		
no checking-Merge		relation	No Foc	
labeling algorithm		relation	2014_Epstein+Kitahara+Seely-7a	
NL-lambda		relation	NL-lambda	
c-command NPI licensing of indeterminate pronoun + mo		relation	c-command NPI licensing of indeterminate pronoun + mo	
Cyclic Transfer by phase		relation	N700	
trichotomy of zibun		relation	logophoric zibun	
isomorphic sluicing		relation	OHE20-Sluicing-and-Its-Subtypes-29b	
non-isomorphic sluicing		relation	OHE20-Sluicing-and-Its-Subtypes-23b	
Oshima2004-fn7(i)a		relation	subject-orientation of zibun	
Japanese -to 'that' is a complementizer		relation	Saito2016-32a	
Argument Ellipsis Possible in Japanese		relation	Sugisaki2016-5-ii	
different_structures_in_competition		relation	syntactic_change_interacted	
pragmatic account of islands		relation	TLS546	
Merge (n-ary)		relation	ubiquity of movement	
pre-sluice		relation	pre-sluice	
Stability of {XP, YP}		relation	No Foc	
subject-orientation of zibun		relation	Koizumi2008MS-6b	
Matsuda2007		relation	Usuki2008	
Merge-only hypothesis		relation	copy theory	
dative_lost		relation	accusative_absolute_declined	
Binding Condition B		relation	TLS367	
		relation		
scope island		relation	TLS579	
partial syntactic sensitivity		relation	Miller1990	
eru sentence		relation	eru sentence	
KNGeneralization		relation	KimuraNarita2021-1A2	
LF-copying analysis of Argument Ellipsis		relation	LF-copy	
Intrinsic Uniformity		relation	interarboreal movement banned by minimal computation	
chain		relation	binarity of Merge	
Kuroda1986a-88		relation	multiple nominative sentence	
Transfer Multiple Agreement		relation	NF3-47	
scope anomaly/topicalization correlation		relation	scope anomaly/topicalization correlation	
Oshima's 2004 Revised Subjecthood Condition on Zibun		relation	Oshima2004-19b	
Binding Condition		relation	Binding Condition	
agreement		relation	agreement	
S-structure Effect		relation	S-structure Effect	
no checking-Merge		relation	No special feature involved in scrambling	
		relation		
LF-copying analysis of Argument Ellipsis		relation	antecedent=transferred	
Agr_weak		relation	not_XP	
Licensing and Identification of pro		relation	OHE22-Nominal-Ellipsis-63b	
Japanese scrambling		relation	Japanese scrambling	
		relation		
local context update		relation	local context update	
Hypothesis W-2		relation	NF2-137ai	
		relation		
Kuroda1986a-121		relation	in-situ topic	
Hypothesis W-2		relation	NF2-150b	
		relation		
Licensing and Identification of pro		relation	OHE22-Nominal-Ellipsis-59a	
Stability of {XP, YP}		relation	no Subj	
syntactic transformation		relation	syntactic transformation	
		relation	Strong Uniformity	
Kuno 1982-sec2-16b		relation	Surface Object Constraint	
		relation	Hashimoto2025_GrammarXiv	
Kuroda1986a-85		relation	multiple nominative sentence	
Surface Subject Constraint		relation	Kuno 1982-n6i	
No Phi in Japanese		relation	subjectless clause in Japanese	
The Minimal Sentential Answer Strategy		relation	Kuno 1982-sec3-17c	
		relation		
		relation		
Ban Against Partial Discourse Deletion		relation	Kuno 1982-sec3-25c	
adjectival_inflection_reduced		relation	nominal_adjectives_declined	
structure dependence		relation	NF1-40d	
neg raising		relation	neg raising	
Argument Ellipsis Possible in Japanese		relation	Takahashi2008MS-9bii	
Argument Ellipsis Possible in Japanese		relation	Takahashi2008MS-16b	
lexicalist hypothesis		relation	generative semantics	
verb raising		relation	verb raising	
definiteness island		relation	*Of which car_i did the picture t_i cause a scandal?	
		relation		
Discourse Representation Theory (DRT)		relation	Discourse Representation Theory (DRT)	
Kuroda1986a-149		relation	in-situ topic	
information structure		relation	information structure	
OHE10-ellipsis-in-inquisitive-semantics-27		relation	OHE10-ellipsis-in-inquisitive-semantics-12a	
paycheck reading		relation	paycheck reading	
wh-movement		relation	*Of which car_i did the picture t_i cause a scandal?	
non-coordinate Gapping		relation	TLSp47n6-3	
		relation		
Surface Subject Constraint		relation	Kuno 1982-10a	
Argument Ellipsis Possible in Japanese		relation		
2011_Obata+Epstein-3a		relation	Feature-Splitting Internal Merge	
2001_Nunes-74a		relation	Anti-c-command Requirement	
OHE22-Nominal-Ellipsis-56b		relation	OHE22-Nominal-Ellipsis-55b	
head movement		relation	nonconstituent coordination (NCC)	
KNGeneralization		relation	KimuraNarita2021-4c	
Binding Condition A		relation	2013_Chomsky-2	
Pecking Order of Deletion Principle		relation	Kuno 1982-sec2-3b	
Sensitivity to A'-movement		relation	Sensitivity to A'-movement	
Transfer Multiple Agreement		relation	NF3-48f	
		relation		
subject-orientation of zibun		relation	Kishimoto2016-28a	
discourse deletion		relation	TLS544	
VP fronting		relation	VP fronting	
context-freeness of natural language		relation	context-freeness of natural language	
Kuroda1978-10		relation	Counter Equi NP Deletion	
multiple-headed relative clause		relation	multiple-headed relative clause	
		relation	KimuraNarita2025c	
coordination scope generalization		relation	TLS96	
extraction out of so-anaphora impossible		relation	sakamoto2022_12	
wh-words_introduce_complements		relation	embedded_questions_formed	
OHE22-Nominal-Ellipsis-52b		relation	OHE22-Nominal-Ellipsis-51a	
V-stranding Sluicing		relation	V-stranding Sluicing	
		relation		
OHE10-ellipsis-in-inquisitive-semantics-27		relation	OHE10-ellipsis-in-inquisitive-semantics-10b	
Kuroda1978-73		relation	Subjectivization	
Kuroda1986a-89		relation	multiple nominative sentence	
ObataEpstein2011		relation	feature inheritance	
dependent case		relation	dependent case	
Kuroda1986a-43		relation	focus	
isomorphic sluicing		relation	OHE20-Sluicing-and-Its-Subtypes-33	
specifier-head agreement approach to ellipsis		relation	specifier-head agreement approach to ellipsis	
predicative copular clause analysis of sluicing		relation	predicative copular clause analysis of sluicing	
Kennedy's puzzle		relation	Kennedy's puzzle	
P-stranding generalization		relation	P-stranding generalization	
Generalized Predication		relation	topic iterable	
Pecking Order of Deletion Principle		relation	Kuno 1982-sec3-16a	
pied-piping		relation	pied-piping	
string-vacuous V-raising in Japanese?		relation	string-vacuous V-raising in Japanese?	
Minimalist Program (MP)		relation	SMT	
NP-Ellipsis		relation	OHE22-Nominal-Ellipsis-19d	
Japanese allows non-null obligatorily controlled subjects		relation	Fujii2016-i	
non-coordinate RNR		relation	non-coordinate RNR	
nontransformational syntax		relation	nontransformational syntax	
Phrasal Sister Condition		relation	NJB-119-119a	
Gapping		relation	Gapping	
		relation		
STC		relation	categorizer phase	
NP-Ellipsis		relation	OHE22-Nominal-Ellipsis-31	
		relation		
OHE10-ellipsis-in-inquisitive-semantics-24		relation	OHE10-ellipsis-in-inquisitive-semantics-25a	
		relation		
Pecking Order of Deletion Principle		relation	Kuno 1982-sec1-18	
		relation		
SEM-mapping		relation	BP	
argument ellipsis		relation	argument ellipsis	
Kuroda1978-2		relation	Subject ni-Raising	
Merge (n-ary)		relation	inclusiveness	
STC		relation	TO-equilibrium	
syntactic mismatch		relation	syntactic mismatch	
		relation		
		relation	Kensuke Takita	
		relation		
		relation		
verbs_ceased_move_AGR		relation	overt_verb_raising_lost	
cleft analysis of sluicing		relation	OHE20-Sluicing-and-Its-Subtypes-18	
Aikawa's (1993) hypothesis		relation	Aikawa's (1993) hypothesis	
		relation		
Japanese -to 'that' is a complementizer		relation	Saito2016-9ii	
ne_omitted		relation	ne_disappeared	
nondistinctness		relation	No two valued Fs in an F-equilibrium	
Kuroda1983-2		relation	free word order	
coordination scope generalization		relation	TLS104	
Optimality Theory		relation	Universality of Constraints	
MERGE (Chomsky's Version)		relation	MERGE (Chomsky's Version)	
AE-quantificational		relation	AE-ex2	
Minimalist Program (MP)		relation	Minimalist Program (MP)	
proExpl		relation	NoEPPItalian	
		relation	Kawahara2026c	
		relation	FOLBlog	
first-person zibun		relation	Hirose2018-22	
Kuroda1983-31		relation	Raising to Object	
Kuno 1982-sec2-16a		relation	Surface Object Constraint	
Adjunct ellipsis is possible		relation	adjunct-inclusive interpretation with null adjuncts	
Symmetrizing Syntax		relation	SS2	
Empty Noun		relation	OHE22-Nominal-Ellipsis-n18iib	
FSC		relation	Vacuous movement hypothesis effect	
Kuroda1986a-67		relation	NP movement (in Japanese)	
		relation		
Deliberate burials require language-based communication		relation	Deliberate burials conducted by Neanderthals	
TLS277		relation	syntactic identity condition (ellipsis)	
Empty Noun		relation	OHE22-Nominal-Ellipsis-20a	
Kuroda1986a-120		relation	ga-wa alternation	
ADC		relation	NoECPItalian	
		relation	Chomsky2024	
head-stranding ellipsis		relation	adjunct-inclusive interpretation with null adjuncts	
linear order irrelevant		relation	NF1-44a	
SVO_established_in_ME		relation	prenominal_adjectives_standard	
no checking-Merge		relation	No special feature involved in Topicalization	
Kuroda1978-3		relation	Subject ni-Raising	
		relation	良い研究室にはどんな設備・消耗品がある（べき）か？	
Kuroda1986a-102		relation	Subjectivization	
subject of -er		relation	Kishimoto2016-26bii	
agent/group-de-subject		relation	Kishimoto2016-39b	
control		relation	2013_Chomsky-4a	
Kuroda1978-15		relation	Canonical Sentence Patterns	
cleft analysis of sluicing		relation	OHE20-Sluicing-and-Its-Subtypes-58b-ii	
pragmatic account of islands		relation	pragmatic account of islands	
locality condition on sloppy reading in VP-ellipsis		relation	kishimoto2008MS-5b-sloppy	
depictives as syntactic adjuncts		relation	depictives as syntactic adjuncts	
Derivation		relation	matrixTransfer	
Active and Passive Discourse-Rule Violations		relation	Kuno 1982-sec3-14b	
tensedness of infinitive		relation	Martin2001	
movement + deletion analysis (of ellipsis)		relation	movement + deletion analysis (of ellipsis)	
sideways/sideward movement		relation	sideways/sideward movement	
